angle,expected_cos,actual_cos,expected_sin,actual_sin
  8165, 14390, 14392,  7833,  7829
 14549, 10337, 10333, 12710, 12712
  5876, 15339, 15339,  5751,  5751
 -7191, 14832, 14834, -6965, -6961
 25136,   600,   600, 16372, 16372
-11087, 12773, 12775,-10261,-10261
-15774,  9362,  9360,-13446,-13446
 -9136, 13900, 13898, -8673, -8665
 -6193, 15229, 15227, -6048, -6042
-22316,  3397,  3395,-16028,-16028
-13930, 10813, 10809,-12312,-12312
 13921, 10816, 10816, 12308, 12308
 18325,  7162,  7162, 14735, 14735
 -2056, 16260, 16256, -2052, -2052
 22232,  3474,  3480, 16010, 16008
 -7659, 14624, 14628, -7385, -7383
-15809,  9326,  9330,-13468,-13466
 -5657, 15418, 15420, -5544, -5544
 21612,  4080,  4080, 15870, 15870
 21931,  3766,  3766, 15946, 15946
  2681, 16165, 16165,  2671,  2671
 25207,   528,   530, 16374, 16374
-13254, 11308, 11306,-11856,-11854
 10758, 12975, 12977, 10002, 10000
 14614, 10285, 10285, 12752, 12752
 20472,  5173,  5171, 15545, 15545
 14257, 10561, 10563, 12527, 12525
-22988,  2740,  2736,-16155,-16155
 14685, 10233, 10229, 12798, 12800
 -5708, 15396, 15400, -5594, -5592
-16328,  8893,  8897,-13753,-13751
 24958,   778,   780, 16363, 16363
   287, 16378, 16378,   290,   290
 11443, 12547, 12549, 10537, 10535
 17671,  7743,  7743, 14438, 14438
-14602, 10292, 10294,-12744,-12744
 -1365, 16332, 16330, -1364, -1366
-13198, 11348, 11348,-11814,-11814
 -5525, 15468, 15466, -5422, -5422
 -2254, 16229, 16227, -2252, -2246
 16161,  9036,  9040, 13664, 13662
-13491, 11141, 11137,-12017,-12019
  8415, 14266, 14270,  8051,  8047
 13195, 11353, 11353, 11814, 11814
 20314,  5321,  5321, 15494, 15494
 -4266, 15827, 15829, -4218, -4216
 24188,  1544,  1548, 16309, 16309
 24420,  1310,  1320, 16329, 16327
 -3524, 16007, 16005, -3497, -3497
 -8825, 14064, 14068, -8405, -8405
 13300, 11275, 11275, 11889, 11889
  2740, 16155, 16155,  2729,  2729
 10597, 13073, 13073,  9874,  9874
 -6373, 15166, 15164, -6215, -6215
-16584,  8691,  8683,-13893,-13895
-19867,  5740,  5744,-15343,-15343
 -4137, 15865, 15867, -4094, -4094
  7608, 14647, 14647,  7338,  7338
  8690, 14132, 14134,  8289,  8287
 25156,   578,   578, 16372, 16372
-22762,  2960,  2958,-16116,-16116
 -9542, 13688, 13684, -9012, -9016
 18219,  7254,  7256, 14689, 14689
 20835,  4824,  4826, 15656, 15656
 12886, 11571, 11567, 11598, 11602
  -290, 16383, 16381,  -290,  -290
 -3355, 16041, 16043, -3329, -3331
 17621,  7785,  7785, 14414, 14414
 20324,  5309,  5315, 15498, 15496
  6596, 15074, 15074,  6421,  6419
 -8774, 14079, 14087, -8362, -8356
 11414, 12567, 12567, 10513, 10513
-10967, 12843, 12849,-10169,-10167
 21213,  4462,  4464, 15763, 15763
 22767,  2953,  2953, 16116, 16116
 14485, 10387, 10383, 12670, 12672
-16611,  8663,  8661,-13907,-13909
 11329, 12623, 12621, 10445, 10447
-13721, 10969, 10967,-12174,-12174
 17693,  7721,  7721, 14450, 14450
  9399, 13757, 13759,  8894,  8892
  3400, 16030, 16030,  3378,  3378
 22580,  3137,  3135, 16081, 16081
 18564,  6946,  6944, 14841, 14841
 16927,  8390,  8390, 14073, 14073
 11996, 12186, 12186, 10954, 10954
 14809, 10133, 10133, 12876, 12876
  4953, 15642, 15642,  4876,  4874
   680, 16370, 16370,   684,   680
 22061,  3642,  3642, 15974, 15974
 18769,  6757,  6757, 14925, 14925
  -209, 16386, 16382,  -213,  -206
  -477, 16375, 16379,  -476,  -476
 17874,  7563,  7563, 14534, 14534
-23574,  2155,  2157,-16242,-16240
  -207, 16378, 16382,  -206,  -204
  7339, 14766, 14766,  7098,  7096
 -9521, 13691, 13695, -8996, -8996
  3892, 15923, 15923,  3856,  3856
  5609, 15433, 15433,  5497,  5497
 11164, 12724, 12724, 10319, 10319
-20766,  4893,  4893,-15634,-15634
-17175,  8172,  8174,-14196,-14196
 21105,  4570,  4570, 15732, 15732
 -7310, 14779, 14781, -7071, -7071
 -4191, 15855, 15855, -4150, -4150
 -5426, 15493, 15493, -5324, -5324
 16885,  8426,  8426, 14053, 14053
 -5141, 15578, 15582, -5057, -5053
 16014,  9160,  9160, 13582, 13582
-21812,  3889,  3887,-15917,-15917
  -322, 16383, 16381,  -322,  -322
-15377,  9678,  9682,-13216,-13216
-16587,  8683,  8683,-13895,-13897
-25573,   163,   163,-16383,-16383
-14953, 10021, 10021,-12961,-12963
 13322, 11261, 11261, 11903, 11903
 -2412, 16208, 16208, -2401, -2405
 -3594, 15995, 15991, -3565, -3565
 25051,   684,   684, 16370, 16370
 15246,  9785,  9785, 13139, 13139
 -7064, 14884, 14886, -6846, -6846
 -8934, 14008, 14008, -8499, -8495
 -9687, 13600, 13602, -9134, -9134
-10653, 13042, 13042, -9920, -9920
  7193, 14831, 14833,  6966,  6960
 -9053, 13942, 13946, -8599, -8599
 -6007, 15297, 15299, -5872, -5874
    35, 16383, 16383,    40,    34
  7474, 14706, 14706,  7218,  7218
-21586,  4107,  4107,-15861,-15861
 21904,  3794,  3798, 15937, 15937
 17211,  8139,  8139, 14220, 14220
-14699, 10220, 10222,-12806,-12806
 13550, 11094, 11088, 12057, 12061
 -3368, 16043, 16041, -3343, -3347
 -1541, 16318, 16316, -1542, -1544
  7521, 14685, 14685,  7262,  7262
-13228, 11324, 11326,-11836,-11836
 -4186, 15846, 15848, -4140, -4138
 -1097, 16349, 16349, -1098, -1094
-21329,  4351,  4353,-15795,-15793
-12940, 11534, 11532,-11636,-11636
  9519, 13693, 13695,  8994,  8992
   250, 16378, 16378,   254,   256
 20977,  4692,  4692, 15697, 15697
 -9466, 13721, 13723, -8950, -8950
-20911,  4763,  4759,-15679,-15679
 19797,  5809,  5809, 15317, 15317
 15879,  9273,  9275, 13506, 13504
 24474,  1258,  1266, 16331, 16331
  1702, 16293, 16293,  1700,  1702
 14852, 10099, 10099, 12900, 12900
-18660,  6860,  6858,-14879,-14879
 16356,  8874,  8876, 13771, 13769
  3834, 15937, 15937,  3798,  3800
 -1368, 16330, 16326, -1366, -1366
  4632, 15732, 15732,  4572,  4570
  6981, 14917, 14919,  6775,  6769
-22506,  3212,  3210,-16069,-16069
 18879,  6659,  6655, 14970, 14972
-16828,  8479,  8475,-14023,-14023
 25448,   286,   290, 16378, 16378
 -5832, 15356, 15358, -5710, -5710
 -8597, 14179, 14183, -8208, -8208
  7868, 14532, 14532,  7569,  7569
  3589, 15990, 15990,  3560,  3560
-13491, 11141, 11137,-12017,-12019
 23281,  2443,  2445, 16199, 16199
 22156,  3548,  3550, 15994, 15994
-11814, 12303, 12305,-10820,-10814
-16793,  8503,  8505,-14003,-14005
-17724,  7702,  7698,-14468,-14468
-12233, 12024, 12024,-11130,-11126
  9870, 13498, 13498,  9285,  9285
 22944,  2779,  2781, 16144, 16144
 21694,  4002,  4000, 15889, 15889
 11597, 12447, 12447, 10652, 10652
 -6408, 15146, 15148, -6245, -6245
  5823, 15359, 15359,  5701,  5701
 10503, 13127, 13129,  9799,  9797
 21953,  3750,  3750, 15948, 15948
 -9389, 13765, 13769, -8884, -8888
  -794, 16368, 16366,  -794,  -794
-16342,  8885,  8887,-13763,-13761
 -2496, 16192, 16192, -2483, -2483
 11221, 12688, 12690, 10365, 10363
 10784, 12959, 12961, 10024, 10020
 -9567, 13674, 13672, -9036, -9036
-18578,  6937,  6933,-14847,-14847
-24274,  1453,  1459,-16317,-16317
 -4310, 15811, 15815, -4262, -4256
 23278,  2445,  2449, 16199, 16199
 21379,  4304,  4306, 15807, 15807
 23609,  2120,  2120, 16246, 16246
-13106, 11418, 11414,-11752,-11752
 10004, 13422, 13422,  9395,  9395
  7819, 14554, 14554,  7527,  7525
  2874, 16132, 16132,  2861,  2861
  1346, 16327, 16325,  1342,  1350
-10992, 12829, 12833,-10187,-10185
  6260, 15200, 15200,  6110,  6110
 -1172, 16345, 16339, -1172, -1164
  7978, 14482, 14482,  7667,  7665
  3388, 16034, 16034,  3364,  3364
 -2010, 16261, 16261, -2006, -2004
-22743,  2976,  2978,-16110,-16110
 -1307, 16332, 16334, -1304, -1308
 24309,  1422,  1428, 16319, 16319
-11548, 12484, 12482,-10615,-10615
-14282, 10533, 10537,-12541,-12539
 -4354, 15814, 15810, -4304, -4304
 24374,  1358,  1364, 16325, 16325
 -4700, 15709, 15711, -4632, -4632
  3551, 15996, 15996,  3528,  3528
    99, 16383, 16383,   102,    96
-22342,  3365,  3369,-16030,-16030
  1862, 16276, 16276,  1858,  1860
 -8448, 14255, 14253, -8078, -8074
 14578, 10315, 10313, 12728, 12730
 -6165, 15237, 15239, -6020, -6020
 13343, 11243, 11243, 11918, 11918
 22837,  2885,  2885, 16128, 16128
 13221, 11333, 11333, 11832, 11832
 20289,  5345,  5347, 15486, 15486
  7763, 14576, 14576,  7477,  7477
 -8872, 14038, 14040, -8447, -8441
 10767, 12971, 12973, 10008, 10006
  -919, 16358, 16360,  -918,  -918
-15242,  9786,  9788,-13133,-13133
-10271, 13261, 13267, -9613, -9611
-11213, 12691, 12695,-10359,-10359
-25434,   299,   301,-16378,-16378
-12506, 11839, 11837,-11329,-11323
-23578,  2151,  2153,-16242,-16242
-18284,  7195,  7195,-14718,-14718
 14266, 10555, 10555, 12531, 12531
 12009, 12176, 12180, 10964, 10960
 -5507, 15468, 15472, -5400, -5406
-21514,  4177,  4177,-15842,-15842
 -2287, 16232, 16228, -2279, -2281
 11801, 12314, 12318, 10808, 10804
 14950, 10020, 10020, 12961, 12961
 22986,  2735,  2735, 16155, 16155
-12947, 11534, 11530,-11642,-11644
  6114, 15254, 15254,  5975,  5975
 25649,    88,    88, 16383, 16383
 -3526, 16003, 16003, -3497, -3497
 -7040, 14896, 14896, -6828, -6822
 13005, 11489, 11489, 11680, 11680
